customer_id,account_id,account_type,account_open_date,account_status,gender,age,state,pincode,customer_segment,employment_status,employer_name,annual_income_inr,account_balance_inr,num_products_held,kyc_status,nominee_added,mobile_banking_enabled,net_banking_enabled,credit_card_linked,demat_account,branch_name,relationship_manager_id,last_login_days_ago,is_dormant,churn_flag,fraud_flag,loan_type,loan_amount_inr,loan_tenure_months,outstanding_principal_inr,emi_amount_inr,days_past_due,is_npa,penalty_amount_inr,credit_score,credit_bureau,risk_rating,savings_interest_rate_pct,fd_interest_rate_pct,overdraft_limit_inr,monthly_interest_income_inr,monthly_service_charges_inr,num_transactions_last_month,avg_transaction_value_inr,last_transaction_date,last_transaction_type,last_transaction_channel,last_transaction_amount_inr,transaction_currency
CUST100000,ACC900000,Savings,2018-04-13,Inactive,F,32.0,Delhi,279451.0,,Business Owner,,3876066.04,166136.95,2.0,,N,Y,,N,,Delhi North,,276.0,0.0,1.0,0.0,Personal Loan,1209031.07,120.0,358195.73,24180.62,0.0,0.0,0.0,463.0,EQUIFAX,High,5.81,,,12031.55,1724.89,27.0,8238.54,2021-11-09,Credit,UPI,382156.58,GBP
CUST100001,ACC900001,Current,2018-08-18,,F,69.0,West Bengal,899550.0,Retail,Salaried,Employer_175,-983368.45,1101971.8,6.0,,,N,,,,Bangalore MG Road,,543.0,0.0,0.0,0.0,Education Loan,2000113.81,60.0,439101.28,40002.28,,,0.0,897.0,EQUIFAX,,,,,4250.95,1512.33,17.0,131762.82,2019-10-18,Interest,RTGS,33438.02,INR
CUST100002,ACC900002,Recurring Deposit,2021-08-20,Active,,,Maharashtra,777568.0,Retail,Self-Employed,,4330448.48,121520.35,2.0,Verified,N,N,N,N,,Delhi North,,347.0,0.0,,0.0,Home Loan,3848503.56,36.0,808856.55,76970.07,30.0,0.0,1203.69,733.0,EXPERIAN,Low,,,,4265.98,1457.73,51.0,33827.82,2020-07-09,Transfer,Net Banking,10708.91,INR
CUST100003,ACC900003,Checking,2020-02-24,Closed,F,26.0,West Bengal,237235.0,Corporate,,,1104273.08,156615.45,8.0,Verified,N,Y,,,N,Jaipur Vaishali,RM30,74.0,,1.0,0.0,Home Loan,310506.91,24.0,266352.82,6210.14,120.0,1.0,45557.57,710.0,EXPERIAN,Low,,,39201.56,-498.53,813.18,49.0,72544.06,2024-03-26,Debit,IMPS,90834.21,INR
CUST100004,ACC900004,Fixed Deposit,2024-12-19,Inactive,M,22.0,Maharashtra,934794.0,Corporate,Salaried,Employer_1,2578829.24,135080.02,5.0,Expired,,,Y,N,Y,Pune FC Road,RM23,682.0,,1.0,0.0,Education Loan,4223685.75,12.0,2941845.15,84473.71,0.0,0.0,0.0,437.0,CIBIL,Medium,,7.96,,7912.08,156.57,95.0,22410.68,2020-04-13,Interest,UPI,252772.98,INR
CUST100005,ACC900005,Current,2024-04-12,Frozen,,65.0,,664607.0,Corporate,Salaried,Employer_30,4485508.82,1585842.33,5.0,Expired,N,Y,,N,Y,Jaipur Vaishali,RM24,680.0,1.0,0.0,0.0,Personal Loan,3855223.43,48.0,1210455.39,77104.47,0.0,0.0,0.0,527.0,,Medium,,,,1754.4,628.07,105.0,17806.65,2021-02-15,Transfer,Net Banking,178790.97,INR
CUST100006,ACC900006,Recurring Deposit,2021-07-09,Frozen,F,64.0,Maharashtra,907451.0,,Business Owner,,2578715.12,1351593.22,4.0,Verified,N,N,Y,Y,,Chennai East,,712.0,0.0,,1.0,,,,,,90.0,1.0,368.87,478.0,,,,,,3283.21,506.81,0.0,23280.45,2021-08-12,EMI,IMPS,220542.73,INR
CUST100007,ACC900007,Savings,2024-04-02,Inactive,F,25.0,Maharashtra,801364.0,,Business Owner,,825255.69,1146609.88,4.0,Rejected,N,Y,N,N,N,Pune FC Road,,130.0,1.0,0.0,0.0,Education Loan,3084101.93,,2653691.56,61682.04,30.0,0.0,4661.85,583.0,EXPERIAN,Very High,4.45,,,11014.06,1757.26,9.0,19655.9,2018-11-27,Debit,Mobile App,118096.04,INR
CUST100008,ACC900008,Fixed Deposit,2024-08-21,,M,23.0,West Bengal,910004.0,Retail,Retired,,796562.05,745384.12,8.0,Pending,N,,Y,Y,,Kolkata West,,579.0,0.0,,0.0,,,,,,90.0,1.0,,731.0,CIBIL,,,8.07,,2664.52,239.71,95.0,81193.69,2018-06-14,Debit,ATM,,USD
CUST100009,ACC900009,Current,2023-12-23,,,22.0,Telangana,656711.0,Corporate,Business Owner,,240747.24,901292.52,5.0,Expired,Y,N,,Y,N,Hyderabad Banjara Hills,RM28,719.0,0.0,1.0,0.0,Education Loan,3634202.66,60.0,2328252.28,72684.05,120.0,1.0,2368.13,574.0,EXPERIAN,,,,,7596.06,791.75,11.0,70305.17,2024-11-04,Transfer,RTGS,13987.48,USD
CUST100010,ACC900010,Current,2021-06-09,Inactive,Other,64.0,Maharashtra,876039.0,Retail,Retired,,1777632.71,1413420.97,2.0,Expired,N,N,,N,N,Mumbai Central,,270.0,,,0.0,Auto Loan,3645655.44,60.0,3333641.97,72913.11,60.0,0.0,2105.51,314.0,EQUIFAX,Low,,,,2466.76,171.35,6.0,57911.91,2023-07-04,Credit,Net Banking,285365.71,USD
CUST100011,ACC900011,Checking,2020-09-09,Frozen,F,28.0,Karnataka,713762.0,Corporate,Retired,,2142588.73,64334.47,8.0,Verified,Y,N,,,N,Ahmedabad SG Highway,RM41,481.0,0.0,0.0,0.0,,,,,,120.0,1.0,4835.83,539.0,EXPERIAN,Very High,,,1988619.41,4702.24,1938.29,69.0,53575.85,2018-10-20,Debit,ATM,409185.8,EUR
CUST100012,ACC900012,Fixed Deposit,2021-09-27,Frozen,Other,72.0,,243139.0,HNI,,,1732175.54,1899884.82,7.0,Pending,N,,Y,N,Y,,RM18,519.0,1.0,0.0,0.0,Education Loan,467233.76,120.0,370755.33,9344.68,180.0,1.0,1446.98,355.0,EQUIFAX,High,,5.9,,13201.89,1351.47,63.0,61146.73,2021-03-25,Penalty,IMPS,,INR
CUST100013,ACC900013,Savings,2021-03-04,Closed,F,55.0,Rajasthan,414012.0,Corporate,Salaried,Employer_121,4343743.7,657045.54,7.0,Pending,N,Y,,,Y,Pune FC Road,RM3,300.0,0.0,0.0,0.0,Auto Loan,4240790.47,120.0,1208221.01,84815.81,120.0,1.0,64510.34,690.0,EXPERIAN,High,6.76,,,12646.3,649.75,4.0,41772.09,2022-12-09,Interest,Net Banking,,USD
CUST100014,ACC900014,Current,2022-10-31,Inactive,F,44.0,Karnataka,134985.0,SME,,,-448031.5,1290785.62,,Verified,,Y,,,Y,Bangalore MG Road,,302.0,0.0,0.0,1.0,Personal Loan,1194483.96,12.0,1010201.48,23889.68,180.0,1.0,3885.41,752.0,EQUIFAX,High,,,,14123.12,1757.13,54.0,38485.98,2023-06-03,Debit,Net Banking,186850.4,INR
CUST100015,ACC900015,Fixed Deposit,2019-12-21,Frozen,F,52.0,Delhi,663658.0,Corporate,Business Owner,,2829215.26,513378.1,6.0,Rejected,Y,Y,N,N,Y,Delhi North,RM25,713.0,1.0,0.0,0.0,,,,,,30.0,0.0,3240.9,646.0,,,,7.7,,7440.76,665.7,18.0,72143.1,2024-04-01,Credit,NEFT,,INR
CUST100016,ACC900016,Recurring Deposit,2019-09-25,Active,,71.0,,573962.0,HNI,Business Owner,,3078118.12,1373080.26,3.0,Verified,,Y,N,N,N,,RM40,674.0,1.0,0.0,0.0,Personal Loan,4364032.77,84.0,691958.38,87280.66,120.0,1.0,1546.4,517.0,CIBIL,Medium,,,,,28.94,31.0,65078.73,2024-03-20,Interest,Branch,106201.6,USD
